1, Luke, Tedlow, rad_dude@gmail.com, (784) 3285-4732, 2716 Nelm Street, Saint Louis, 63101, United States
2, Kyle, Mercer, K_Mercer@hotmail.com, (1800) 6674 549, 481 Bridge Avenue, Lake Charles, 70601, United States
3, Mollie, Fisk, pink_rock@yahoo.com, 220 - 9977862, 88 Jane Bell Lane, Melbourne, 3000, Australia
4, Raphael, Burrey, raphael81@hotmail.com, (617) 780-2729, 1229 Hillcrest Lane, Irvine, 92714, United States
5, Ava, Fusaro, AF_W@gmail.com, (517) 652-6266, 16 Wagga Road, Yathella, 2650, Australia
6, Laurence, Galantino, potato_is_life@gmail.com, (201) 3268-5131, 83 Taylor Street, Invergordon South, 3634, Australia
7, Mike, Zanger, Mzanger@hotmail.com, (893) 642-9985, 70 Armstrong Street, Macorna North, 3568, Australia
8, Eleanor, Kovaks, Elly_Kovaks@hotmail.com, 469 585 7125, 86 Ross Street, Numinbah Valley, 4211, Australia
9, Liam, Talbott, abigbutt@gmail.com, 63 7878 2634, 2258 Cherry Ridge Drive, New Orleans, 70166, United States
10, Melissa, Grefter, Melly_G@gmail.com, (957) 344-1738, 22 Barker Street, Tenterden, 6322, Australia
